type,n,ratio,latent_ratio,alpha,baseline F1 score,SLOE F1 score,baseline time (s),SLOE time (s)
gaussian,500,0.1,,1.1763206072740218,0.76,0.76,0.11599445343017578,1.9369986057281494
non_gaussian,500,0.1,,1.146889614730062,0.6101694915254237,0.6271186440677966,0.09499955177307129,2.017083168029785
latent_gaussian,500,0.1,0.1,1.179592939173096,0.6956521739130436,0.6956521739130436,0.07899880409240723,1.7620375156402588
latent_non_gaussian,500,0.1,0.1,1.1899710152113747,0.625,0.625,0.0820002555847168,1.7540016174316406
latent_gaussian,500,0.1,0.5,1.1894194240619769,0.6862745098039216,0.6862745098039216,0.03401446342468262,1.9190433025360107
latent_non_gaussian,500,0.1,0.5,1.1814444879645614,0.7647058823529411,0.7647058823529411,0.09399580955505371,2.1563868522644043
latent_gaussian,500,0.1,0.9,1.180907014087781,0.75,0.75,0.08199882507324219,1.6015589237213135
latent_non_gaussian,500,0.1,0.9,1.1792831071424763,0.6274509803921567,0.6274509803921567,0.06299972534179688,1.6702945232391357
heavy,500,0.1,,1.2264494027397272,0.6904761904761905,0.6904761904761905,0.10600018501281738,1.867114782333374
gaussian,1000,0.1,,1.2033598979891122,0.7319587628865979,0.7319587628865979,0.2689995765686035,1.7000017166137695
non_gaussian,1000,0.1,,1.1468896155365345,0.5123152709359606,0.5572139303482587,0.26999807357788086,2.1341073513031006
latent_gaussian,1000,0.1,0.1,1.1886671274120573,0.7536231884057971,0.7536231884057971,0.3709602355957031,1.535998821258545
latent_non_gaussian,1000,0.1,0.1,1.1798438402150278,0.6666666666666667,0.6666666666666667,0.37101078033447266,1.4690015316009521
latent_gaussian,1000,0.1,0.5,1.2008406125250957,0.6770833333333334,0.6770833333333334,0.22900009155273438,1.8661229610443115
latent_non_gaussian,1000,0.1,0.5,1.2098545848749012,0.7414634146341463,0.7414634146341463,0.2670001983642578,2.001145601272583
latent_gaussian,1000,0.1,0.9,1.185995677026281,0.7570093457943925,0.7570093457943925,0.2859995365142822,1.916001319885254
